Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_AdjClose,AAPL_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_AdjClose,MSFT_Volume,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_AdjClose,GOOGL_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_AdjClose,AMZN_Volume,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_AdjClose,TSLA_Volume,META_Open,META_High,META_Low,META_Close,META_AdjClose,META_Volume,RELIANCE.NS_Open,RELIANCE.NS_High,RELIANCE.NS_Low,RELIANCE.NS_Close,RELIANCE.NS_AdjClose,RELIANCE.NS_Volume,TCS.NS_Open,TCS.NS_High,TCS.NS_Low,TCS.NS_Close,TCS.NS_AdjClose,TCS.NS_Volume,INFY.NS_Open,INFY.NS_High,INFY.NS_Low,INFY.NS_Close,INFY.NS_AdjClose,INFY.NS_Volume,HDFCBANK.NS_Open,HDFCBANK.NS_High,HDFCBANK.NS_Low,HDFCBANK.NS_Close,HDFCBANK.NS_AdjClose,HDFCBANK.NS_Volume
2016-04-04,25.166513442993164,27.780000686645508,28.047500610351562,27.5674991607666,27.604999542236328,149424800.0,48.772239685058594,55.43000030517578,55.65999984741211,55.0,55.43000030517578,18928800.0,37.942405700683594,38.25600051879883,38.62200164794922,38.089500427246094,38.47549819946289,26924000.0,29.659500122070312,29.659500122070312,29.975000381469727,29.52750015258789,29.950000762939453,49416000.0,16.465999603271484,16.465999603271484,16.808000564575195,16.242666244506836,16.607999801635742,202129500.0,111.67363739013672,112.55000305175781,114.55000305175781,111.61000061035156,114.06999969482422,48487900.0,226.80386352539062,236.5950164794922,238.22938537597656,234.3663330078125,237.72650146484375,8632568.0,977.4441528320312,1235.625,1244.0,1223.5,1228.0,1752352.0,474.6780700683594,621.8499755859375,624.0,606.7750244140625,606.7750244140625,4577054.0,245.76547241210938,267.26251220703125,268.20001220703125,266.0,266.29998779296875,6179960.0
2016-04-05,24.86981964111328,27.452499389648438,27.6825008392334,27.354999542236328,27.377500534057617,106314800.0,48.00675582885742,54.560001373291016,55.29999923706055,54.459999084472656,55.189998626708984,19272300.0,37.617591857910156,37.92850112915039,38.14350128173828,37.779998779296875,37.90650177001953,24478000.0,29.30699920654297,29.30699920654297,29.673500061035156,29.262500762939453,29.53849983215332,46178000.0,17.031333923339844,17.031333923339844,17.104000091552734,16.0,16.03333282470703,149230500.0,111.3462142944336,112.22000122070312,113.31999969482422,111.9000015258789,112.11000061035156,22962400.0,225.02899169921875,234.74349975585938,238.2751007080078,233.65773010253906,235.749267578125,10259495.0,974.0819702148438,1231.375,1242.449951171875,1221.0250244140625,1235.4000244140625,1491794.0,465.5562438964844,609.9000244140625,621.1500244140625,607.0,621.0,4790716.0,243.09864807128906,264.36248779296875,269.2250061035156,263.9125061035156,267.25,6663028.0
2016-04-06,25.130271911621094,27.739999771118164,27.7450008392334,27.299999237060547,27.5575008392334,105616400.0,48.49948501586914,55.119998931884766,55.20000076293945,54.209999084472656,54.36000061035156,21188700.0,38.08869171142578,38.403499603271484,38.42100143432617,37.814998626708984,37.891998291015625,25312000.0,30.104000091552734,30.104000091552734,30.11949920654297,29.375,29.375999450683594,56998000.0,17.69466781616211,17.69466781616211,17.849332809448242,16.89666748046875,16.931333541870117,175582500.0,112.82461547851562,113.70999908447266,113.80999755859375,112.41999816894531,112.47000122070312,20814600.0,226.5189971923828,236.29786682128906,236.97218322753906,233.74916076660156,235.9207000732422,6990781.0,981.656494140625,1240.949951171875,1244.5,1229.675048828125,1235.0,1763150.0,458.2665100097656,600.3499755859375,614.0,598.0,614.0,4931354.0,244.02978515625,265.375,266.73748779296875,264.1875,265.25,4295376.0
2016-04-07,24.582189559936523,27.135000228881836,27.604999542236328,27.030000686645508,27.487499237060547,127207600.0,47.91876220703125,54.459999084472656,54.90999984741211,54.22999954223633,54.869998931884766,19225100.0,37.6944580078125,38.00600051879883,38.46799850463867,37.875,38.26599884033203,25498000.0,29.571500778198242,29.571500778198242,29.979999542236328,29.45400047302246,29.937999725341797,63780000.0,17.14666748046875,17.14666748046875,17.95599937438965,16.96733283996582,17.76333236694336,132843000.0,112.75516510009766,113.63999938964844,114.88999938964844,113.06999969482422,113.79000091552734,20714500.0,227.2859344482422,237.097900390625,239.55517578125,233.63487243652344,236.56072998046875,8789163.0,977.265869140625,1235.4000244140625,1242.3499755859375,1228.5,1240.0,2390942.0,450.93841552734375,590.75,604.2000122070312,587.5,604.2000122070312,5657890.0,242.65042114257812,263.875,266.1875,261.76251220703125,266.0,3911692.0
2016-04-08,24.609365463256836,27.165000915527344,27.4424991607666,27.042499542236328,27.227500915527344,94326800.0,47.88356018066406,54.41999816894531,55.279998779296875,54.31999969482422,54.66999816894531,22167200.0,37.66222381591797,37.9734992980957,38.35649871826172,37.78850173950195,38.29349899291992,23434000.0,29.729999542236328,29.729999542236328,29.89299964904785,29.450000762939453,29.715999603271484,51838000.0,16.67133331298828,16.67133331298828,17.38800048828125,16.534666061401367,17.366666793823242,110458500.0,109.76860046386719,110.62999725341797,114.33000183105469,109.9000015258789,114.25,48497800.0,227.08872985839844,236.89218139648438,241.02952575683594,235.71498107910156,236.789306640625,13411752.0,961.9393920898438,1216.0250244140625,1236.8499755859375,1213.5,1233.0,1399500.0,444.9272766113281,582.875,588.75,581.0250244140625,587.9249877929688,4195578.0,243.5354461669922,264.8374938964844,265.8374938964844,263.5625,263.75,2962796.0
2016-04-11,24.69090461730957,27.2549991607666,27.65250015258789,27.207500457763672,27.24250030517578,117630000.0,47.78677749633789,54.310001373291016,55.150001525878906,54.29999923706055,54.4900016784668,21414200.0,37.56650924682617,37.87699890136719,38.361000061035156,37.867000579833984,38.272499084472656,31774000.0,29.796499252319336,29.796499252319336,30.200000762939453,29.745500564575195,29.80699920654297,54086000.0,16.661333084106445,16.661333084106445,17.266000747680664,16.35333251953125,16.733333587646484,137425500.0,108.14137268066406,108.98999786376953,110.91000366210938,108.7699966430664,110.69999694824219,39762300.0,227.95428466796875,237.79507446289062,238.9837188720703,236.1264190673828,237.04075622558594,10308361.0,991.4457397460938,1253.324951171875,1258.5,1206.5,1216.5,2400648.0,451.85455322265625,591.9500122070312,593.375,575.5499877929688,582.9000244140625,5768678.0,246.20223999023438,267.73748779296875,268.5249938964844,260.7124938964844,265.07501220703125,4049620.0
2016-04-12,25.012502670288086,27.610000610351562,27.625,27.165000915527344,27.334999084472656,108929200.0,48.08594512939453,54.650001525878906,54.779998779296875,53.7599983215332,54.369998931884766,24944300.0,37.90273666381836,38.215999603271484,38.24599838256836,37.57849884033203,37.92150115966797,27388000.0,30.15850067138672,30.15850067138672,30.202999114990234,29.61549949645996,29.920000076293945,52822000.0,16.521333694458008,16.521333694458008,16.786666870117188,16.242000579833984,16.633333206176758,86448000.0,109.74874877929688,110.61000061035156,111.16000366210938,108.98999786376953,109.33999633789062,26248100.0,229.51004028320312,239.4180145263672,241.7152862548828,237.28076171875,237.79507446289062,11164859.0,995.993896484375,1259.074951171875,1262.5,1244.050048828125,1249.0,1303628.0,451.2057189941406,591.0999755859375,597.4500122070312,589.2999877929688,590.25,5842138.0,244.3746337890625,265.75,267.75,264.8125,267.3999938964844,4941480.0
2016-04-13,25.374868392944336,28.010000228881836,28.084999084472656,27.700000762939453,27.700000762939453,133029200.0,48.70185852050781,55.349998474121094,55.439998626708984,54.88999938964844,55.119998931884766,20818000.0,38.27912521362305,38.59550094604492,38.787498474121094,38.22949981689453,38.515499114990234,35426000.0,30.740999221801758,30.740999221801758,30.840499877929688,30.26449966430664,30.384000778198242,84566000.0,16.968666076660156,16.968666076660156,17.03333282470703,16.488666534423828,16.567333221435547,73884000.0,109.6495361328125,110.51000213623047,112.6500015258789,106.5199966430664,112.2300033569336,88227400.0,233.59669494628906,243.68109130859375,244.56114196777344,240.59523010253906,240.59523010253906,16038542.0,999.1781616210938,1263.0999755859375,1272.5,1256.25,1265.0,1601468.0,447.5797424316406,586.3499755859375,597.4749755859375,583.1749877929688,597.4749755859375,12511386.0,248.68508911132812,270.4375,271.23748779296875,267.375,268.0,4974604.0
2016-04-14,25.388458251953125,28.024999618530273,28.09749984741211,27.832500457763672,27.905000686645508,101895600.0,48.71066665649414,55.36000061035156,55.58000183105469,55.06999969482422,55.220001220703125,20877100.0,38.45170211791992,38.769500732421875,38.980499267578125,38.6609992980957,38.768001556396484,26992000.0,31.037500381469727,31.037500381469727,31.2189998626709,30.75349998474121,30.75349998474121,70242000.0,16.790666580200195,16.790666580200195,17.12266731262207,16.73666763305664,16.866666793823242,61983000.0,109.97695922851562,110.83999633789062,112.04000091552734,110.26000213623047,110.62000274658203,28473300.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-15,24.87887954711914,27.462499618530273,28.075000762939453,27.4325008392334,28.02750015258789,187756000.0,48.9658203125,55.650001525878906,55.91999816894531,55.11000061035156,55.29999923706055,28793800.0,38.6803092956543,39.0,39.04650115966797,38.746498107910156,38.775001525878906,31712000.0,31.29450035095215,31.29450035095215,31.338499069213867,30.905500411987305,31.09600067138672,57754000.0,16.96733283996582,16.96733283996582,16.97333335876465,16.607999801635742,16.753999710083008,56286000.0,108.78629302978516,109.63999938964844,110.97000122070312,109.19999694824219,110.79000091552734,20922800.0,,,,,,,,,,,,,,,,,,,,,,,,
